geo_key,name,tot_pop_10,pc_wht_10,avg_huval,yrblt_mdn,trst_trps,year
156,Capitol View Neighborhood Association,388,40.5,143031.0,1966,312,2019
90,Bluff Acres Neighborhood Association,3725,67.6,176436.0,1981,335,2019
95,Mendota Hills Neighborhood Association,364,82.6,176057.0,1959,258,2019
140,Vilas Neighborhood Association,1881,90.8,434895.0,1918,1246,2019
102,Sheridan Triangle Neighborhood Association,340,91.9,148381.0,1947,258,2019
159,Meadowood Neighborhood Association,2962,68.6,170035.0,1964,927,2019
104,Burke Heights Neighborhood Association,607,67.3,161477.0,1973,463,2019
171,Allied Dunn's Marsh Neighborhood Association,2157,33.9,128086.0,1964,718,2019
97,Sherman Neighborhood Association,2695,72.4,145987.0,1953,3084,2019
125,Blackhawk Homeowners Association,2168,83.4,535821.0,2001,0,2019
1,City of Madison,232626,75.6,234150.0,1972,11646,2019
138,"Hill Farms, University Neighborhood Association",2942,76.4,285033.0,1960,1819,2019
98,Brentwood Village Association,1128,63.2,189105.0,1962,258,2019
118,Wexford Village Homeowners Association,2506,84.3,295670.0,1992,292,2019
94,Berkley Oaks Neighborhood Association,1399,48.8,135274.0,1966,504,2019
89,Whitetail Ridge,499,76.2,174999.0,1995,246,2019
151,Bram's Addition Neighborhood Association,1282,24.4,112920.0,1965,1577,2019
105,Eken Park Neighborhood Association,2505,78.3,136896.0,1948,2247,2019
161,Arbor Hills Neighborhood Association,1102,75.8,245922.0,1970,471,2019
351,Rocky Bluff Neighborhood Association,1142,78.3,228614.0,1957,1667,2019
164,Westhaven Trails Homeowners Assoc,1956,66.2,191316.0,1990,293,2019
100,Carpenter-Ridgeway Neighborhood Association,1016,66.4,149842.0,1967,1608,2019
128,Walnut Grove Homeowners Association,981,80.7,272194.0,1977,337,2019
167,Country Grove Neighborhood Association,917,84.7,299766.0,1996,105,2019
132,East Buckeye Neighborhood Association,2043,85.2,192460.0,1985,326,2019
500,Dunn's Marsh Neighborhood Association,2157,33.9,128086.0,1964,718,2019
142,Faircrest Neighborhood Association,1191,80.2,283064.0,1965,553,2019
103,Hawthorne Neighborhood Association,1090,66.0,130841.0,1955,989,2019
86,Westchester Gardens Neighborhood Association,1302,65.7,171046.0,1986,1052,2019
106,Emerson East Neighborhood Association,2042,83.9,167032.0,1925,2397,2019
93,Nobel Park Neighborhood Association,353,72.2,136268.0,1955,484,2019
112,Heritage Heights Community Association,2240,89.9,190302.0,1975,161,2019
133,Glen Oak Hills Neighborhood Association,844,87.7,185809.0,1956,1350,2019
84,Cherokee Park Neighborhood Association,1431,94.8,270423.0,1983,20,2019
139,Glendale Neighborhood Association,2233,79.1,179014.0,1958,511,2019
141,Greenbush Neighborhood Association,2879,88.8,243655.0,1918,2127,2019
107,Hiestand Neighborhood Association,3561,58.9,168118.0,1979,809,2019
123,Lake Edge Neighborhood Association,2380,88.5,161903.0,1951,571,2019
120,Richmond Hill Homeowners Association,395,85.3,342836.0,1997,0,2019
135,Junction Ridge Neighborhood Association,1628,80.6,249431.0,1998,522,2019
155,Greentree Neighborhood Association,1841,76.7,221014.0,1967,702,2019
130,Wisconsin Co-op Housing Association,355,91.9,205973.0,1951,553,2019
166,Glacier Ridge Neighborhood Association,1385,83.3,240105.0,2002,0,2019
153,Burr Oaks Neighborhood Association,1744,20.1,156427.0,1962,1885,2019
91,Lake View Hill Neighborhood Association,1192,69.4,170915.0,1961,504,2019
108,Worthington Park Neighborhood Association,701,30.7,119198.0,1959,1294,2019
110,McClellan Park Neighborhood Association,2227,81.7,232081.0,2005,0,2019
114,Marquette Neighborhood Association,4909,88.8,296847.0,1915,2495,2019
99,Mayfair Park Neighborhood Association,593,64.9,137059.0,1967,1440,2019
177,Summit Woods Neighborhood Association,721,85.0,205785.0,1966,442,2019
150,Nakoma League,1778,93.8,415214.0,1938,998,2019
169,Orchard Ridge Neighborhood Association,2262,87.6,200619.0,1964,1164,2019
87,North Lake Mendota Neighborhood Association,898,86.3,242591.0,1992,258,2019
92,Lerdahl Park Neighborhood Association,925,80.4,281459.0,1966,258,2019
131,Parkwood Hills Community Association,1274,87.5,320159.0,1972,783,2019
160,Prairie Hills Neighborhood Association,3350,57.2,178162.0,1977,514,2019
165,Maple-Prairie Neighborhood Association,1732,79.6,222609.0,1993,150,2019
101,Ridgewood Neighborhood Association,3992,57.5,202437.0,1995,463,2019
113,Rolling Meadows Neighborhood Association,2366,84.1,165225.0,1966,616,2019
350,Marbella Condominium Association,463,78.8,,1996,491,2019
85,Sherman Village Neighborhood Association,2283,82.2,152661.0,1966,246,2019
134,Sauk Creek Neighborhood Association,1029,79.5,350848.0,1990,292,2019
145,Oakbridge Community Neighborhood Association,343,81.5,216951.0,1984,125,2019
182,Schenk-Atwood-Starkweather-Yahara Neighborhood Association,5773,88.0,209923.0,1925,3088,2019
117,Spring Harbor Neighborhood Association,2224,78.0,305098.0,1962,539,2019
170,Stone Meadows Neighborhood Association,3118,78.8,217791.0,2000,135,2019
129,Sunset Village Neighborhood Association,1842,87.4,236309.0,1948,2451,2019
124,Stonefield Woods-Ridge Neighborhood Association,235,87.3,360683.0,1990,151,2019
149,Waunona Neighborhood Association,1970,63.0,321359.0,1969,416,2019
109,Sprecher East Neighborhood Association,2207,86.2,230761.0,2003,0,2019
111,Eastmorland Community Association,3166,89.6,145412.0,1953,2877,2019
175,Greystone,283,80.8,360845.0,2004,0,2019
148,Bay Creek Neighborhood Association,2401,83.6,209698.0,1940,1397,2019
126,Capitol Neighborhoods,13843,82.0,255850.0,1969,5249,2019
158,Park Ridge Neighborhood Association,488,48.3,140978.0,1986,221,2019
176,Dudgeon-Monroe Neighborhood Association,3176,90.8,312402.0,1929,1466,2019
121,Elvehjem Neighborhood Association,4165,81.8,180363.0,1968,436,2019
147,Westmorland Neighborhood Association,2207,91.7,245898.0,1950,1412,2019
174,Hawk's Landing Neighborhood Association,1503,85.6,519437.0,2004,0,2019
152,High Point Estates,853,71.8,414825.0,1992,221,2019
144,Tamarack Trails Community Condominium Association,464,58.0,,1978,255,2019
143,Wexford Ridge Neighborhood,400,27.3,,1976,135,2019
146,Midvale Heights Community Association,3284,87.0,228629.0,1958,3061,2019
157,Moorland-Rimrock Neighborhood Association,2591,49.2,174680.0,1973,356,2019
136,Regent Neighborhood Association,6344,85.2,385308.0,1931,3730,2019
163,Skyview Meadows Neighborhood Association,532,81.4,197046.0,1986,193,2019
181,Monona Bay Neighborhood Association,1138,53.3,243361.0,1964,2127,2019
168,Sunset Hills Neighborhood Association,213,91.6,365293.0,1962,0,2019
115,Tenney-Lapham Neighborhood Association,4149,87.1,279929.0,1914,2580,2019
352,Woodland Hills Neighborhood Association,682,81.8,272260.0,1985,292,2019
88,High Crossing Neighborhood Association,1020,75.5,,2002,161,2019
137,South Campus Property Owners Association,4194,80.5,,1988,5866,2019
116,University Apartments Assembly,2643,29.9,,1963,1042,2019
178,Leopold Neighborhood Association,1105,45.0,,1982,541,2019
348,State-Langdon Neighborhood Association,10146,78.9,,1964,6484,2019
156,Capitol View Neighborhood Association,388,40.5,143031.0,1966,312,2012
90,Bluff Acres Neighborhood Association,3725,67.6,176436.0,1981,335,2012
95,Mendota Hills Neighborhood Association,364,82.6,176057.0,1959,258,2012
140,Vilas Neighborhood Association,1881,90.8,434895.0,1918,1246,2012
102,Sheridan Triangle Neighborhood Association,340,91.9,148381.0,1947,258,2012
159,Meadowood Neighborhood Association,2962,68.6,170035.0,1964,927,2012
104,Burke Heights Neighborhood Association,607,67.3,161477.0,1973,463,2012
171,Allied Dunn's Marsh Neighborhood Association,2157,33.9,128086.0,1964,718,2012
97,Sherman Neighborhood Association,2695,72.4,145987.0,1953,3084,2012
125,Blackhawk Homeowners Association,2168,83.4,535821.0,2001,0,2012
1,City of Madison,232626,75.6,234150.0,1972,11646,2012
138,"Hill Farms, University Neighborhood Association",2942,76.4,285033.0,1960,1819,2012
98,Brentwood Village Association,1128,63.2,189105.0,1962,258,2012
118,Wexford Village Homeowners Association,2506,84.3,295670.0,1992,292,2012
94,Berkley Oaks Neighborhood Association,1399,48.8,135274.0,1966,504,2012
89,Whitetail Ridge,499,76.2,174999.0,1995,246,2012
151,Bram's Addition Neighborhood Association,1282,24.4,112920.0,1965,1577,2012
105,Eken Park Neighborhood Association,2505,78.3,136896.0,1948,2247,2012
161,Arbor Hills Neighborhood Association,1102,75.8,245922.0,1970,471,2012
351,Rocky Bluff Neighborhood Association,1142,78.3,228614.0,1957,1667,2012
164,Westhaven Trails Homeowners Assoc,1956,66.2,191316.0,1990,293,2012
100,Carpenter-Ridgeway Neighborhood Association,1016,66.4,149842.0,1967,1608,2012
128,Walnut Grove Homeowners Association,981,80.7,272194.0,1977,337,2012
167,Country Grove Neighborhood Association,917,84.7,299766.0,1996,105,2012
132,East Buckeye Neighborhood Association,2043,85.2,192460.0,1985,326,2012
500,Dunn's Marsh Neighborhood Association,2157,33.9,128086.0,1964,718,2012
142,Faircrest Neighborhood Association,1191,80.2,283064.0,1965,553,2012
103,Hawthorne Neighborhood Association,1090,66.0,130841.0,1955,989,2012
86,Westchester Gardens Neighborhood Association,1302,65.7,171046.0,1986,1052,2012
106,Emerson East Neighborhood Association,2042,83.9,167032.0,1925,2397,2012
93,Nobel Park Neighborhood Association,353,72.2,136268.0,1955,484,2012
112,Heritage Heights Community Association,2240,89.9,190302.0,1975,161,2012
133,Glen Oak Hills Neighborhood Association,844,87.7,185809.0,1956,1350,2012
84,Cherokee Park Neighborhood Association,1431,94.8,270423.0,1983,20,2012
139,Glendale Neighborhood Association,2233,79.1,179014.0,1958,511,2012
141,Greenbush Neighborhood Association,2879,88.8,243655.0,1918,2127,2012
107,Hiestand Neighborhood Association,3561,58.9,168118.0,1979,809,2012
123,Lake Edge Neighborhood Association,2380,88.5,161903.0,1951,571,2012
120,Richmond Hill Homeowners Association,395,85.3,342836.0,1997,0,2012
135,Junction Ridge Neighborhood Association,1628,80.6,249431.0,1998,522,2012
155,Greentree Neighborhood Association,1841,76.7,221014.0,1967,702,2012
130,Wisconsin Co-op Housing Association,355,91.9,205973.0,1951,553,2012
166,Glacier Ridge Neighborhood Association,1385,83.3,240105.0,2002,0,2012
153,Burr Oaks Neighborhood Association,1744,20.1,156427.0,1962,1885,2012
91,Lake View Hill Neighborhood Association,1192,69.4,170915.0,1961,504,2012
108,Worthington Park Neighborhood Association,701,30.7,119198.0,1959,1294,2012
110,McClellan Park Neighborhood Association,2227,81.7,232081.0,2005,0,2012
114,Marquette Neighborhood Association,4909,88.8,296847.0,1915,2495,2012
99,Mayfair Park Neighborhood Association,593,64.9,137059.0,1967,1440,2012
177,Summit Woods Neighborhood Association,721,85.0,205785.0,1966,442,2012
150,Nakoma League,1778,93.8,415214.0,1938,998,2012
169,Orchard Ridge Neighborhood Association,2262,87.6,200619.0,1964,1164,2012
87,North Lake Mendota Neighborhood Association,898,86.3,242591.0,1992,258,2012
92,Lerdahl Park Neighborhood Association,925,80.4,281459.0,1966,258,2012
131,Parkwood Hills Community Association,1274,87.5,320159.0,1972,783,2012
160,Prairie Hills Neighborhood Association,3350,57.2,178162.0,1977,514,2012
165,Maple-Prairie Neighborhood Association,1732,79.6,222609.0,1993,150,2012
101,Ridgewood Neighborhood Association,3992,57.5,202437.0,1995,463,2012
113,Rolling Meadows Neighborhood Association,2366,84.1,165225.0,1966,616,2012
350,Marbella Condominium Association,463,78.8,,1996,491,2012
85,Sherman Village Neighborhood Association,2283,82.2,152661.0,1966,246,2012
134,Sauk Creek Neighborhood Association,1029,79.5,350848.0,1990,292,2012
145,Oakbridge Community Neighborhood Association,343,81.5,216951.0,1984,125,2012
182,Schenk-Atwood-Starkweather-Yahara Neighborhood Association,5773,88.0,209923.0,1925,3088,2012
117,Spring Harbor Neighborhood Association,2224,78.0,305098.0,1962,539,2012
170,Stone Meadows Neighborhood Association,3118,78.8,217791.0,2000,135,2012
129,Sunset Village Neighborhood Association,1842,87.4,236309.0,1948,2451,2012
124,Stonefield Woods-Ridge Neighborhood Association,235,87.3,360683.0,1990,151,2012
149,Waunona Neighborhood Association,1970,63.0,321359.0,1969,416,2012
109,Sprecher East Neighborhood Association,2207,86.2,230761.0,2003,0,2012
111,Eastmorland Community Association,3166,89.6,145412.0,1953,2877,2012
175,Greystone,283,80.8,360845.0,2004,0,2012
148,Bay Creek Neighborhood Association,2401,83.6,209698.0,1940,1397,2012
126,Capitol Neighborhoods,13843,82.0,255850.0,1969,5249,2012
158,Park Ridge Neighborhood Association,488,48.3,140978.0,1986,221,2012
176,Dudgeon-Monroe Neighborhood Association,3176,90.8,312402.0,1929,1466,2012
121,Elvehjem Neighborhood Association,4165,81.8,180363.0,1968,436,2012
147,Westmorland Neighborhood Association,2207,91.7,245898.0,1950,1412,2012
174,Hawk's Landing Neighborhood Association,1503,85.6,519437.0,2004,0,2012
152,High Point Estates,853,71.8,414825.0,1992,221,2012
144,Tamarack Trails Community Condominium Association,464,58.0,,1978,255,2012
143,Wexford Ridge Neighborhood,400,27.3,,1976,135,2012
146,Midvale Heights Community Association,3284,87.0,228629.0,1958,3061,2012
157,Moorland-Rimrock Neighborhood Association,2591,49.2,174680.0,1973,356,2012
136,Regent Neighborhood Association,6344,85.2,385308.0,1931,3730,2012
163,Skyview Meadows Neighborhood Association,532,81.4,197046.0,1986,193,2012
181,Monona Bay Neighborhood Association,1138,53.3,243361.0,1964,2127,2012
168,Sunset Hills Neighborhood Association,213,91.6,365293.0,1962,0,2012
115,Tenney-Lapham Neighborhood Association,4149,87.1,279929.0,1914,2580,2012
352,Woodland Hills Neighborhood Association,682,81.8,272260.0,1985,292,2012
88,High Crossing Neighborhood Association,1020,75.5,,2002,161,2012
137,South Campus Property Owners Association,4194,80.5,,1988,5866,2012
116,University Apartments Assembly,2643,29.9,,1963,1042,2012
178,Leopold Neighborhood Association,1105,45.0,,1982,541,2012
348,State-Langdon Neighborhood Association,10146,78.9,,1964,6484,2012
1,City of Madison,232659,75.6,232926.0,1972,12200,2013
148,Bay Creek Neighborhood Association,2401,83.6,214226.0,1947,1386,2013
105,Eken Park Neighborhood Association,2505,78.3,133792.0,1948,2341,2013
149,Waunona Neighborhood Association,1027,71.0,326710.0,1959,417,2013
126,Capitol Neighborhoods,13843,82.0,260786.0,1969,5348,2013
176,Dudgeon-Monroe Neighborhood Association,3176,90.8,314416.0,1929,1466,2013
111,Eastmorland Community Association,3166,89.6,144840.0,1953,2901,2013
153,Burr Oaks Neighborhood Association,1744,20.1,137022.0,1962,1845,2013
175,Greystone,283,80.8,362467.0,2004,0,2013
146,Midvale Heights Community Association,3479,83.6,228923.0,1958,3186,2013
129,Sunset Village Neighborhood Association,1842,87.4,238374.0,1948,3211,2013
136,Regent Neighborhood Association,6344,85.2,389164.0,1931,4240,2013
163,Skyview Meadows Neighborhood Association,532,81.4,196815.0,1987,203,2013
352,Woodland Hills Neighborhood Association,682,81.8,273657.0,1985,352,2013
118,Wexford Village Homeowners Association,2506,84.3,282630.0,1992,352,2013
121,Elvehjem Neighborhood Association,4165,81.8,176877.0,1968,331,2013
109,Sprecher East Neighborhood Association,2207,86.2,230310.0,2003,75,2013
115,Tenney-Lapham Neighborhood Association,4149,87.1,281641.0,1914,2424,2013
147,Westmorland Neighborhood Association,2207,91.7,247481.0,1951,1397,2013
152,High Point Estates,853,71.8,413454.0,1992,221,2013
93,Nobel Park Neighborhood Association,353,72.2,131816.0,1955,484,2013
181,Monona Bay Neighborhood Association,1138,53.3,249961.0,1971,2126,2013
157,Moorland-Rimrock Neighborhood Association,2591,49.2,168101.0,1973,357,2013
158,Park Ridge Neighborhood Association,488,48.3,128922.0,1986,221,2013
174,Hawk's Landing Neighborhood Association,1503,85.6,520126.0,2004,0,2013
120,Richmond Hill Homeowners Association,395,85.3,340850.0,1997,80,2013
151,Bram's Addition Neighborhood Association,1282,24.4,113501.0,1965,1577,2013
98,Brentwood Village Association,1128,63.2,179752.0,1962,258,2013
350,Marbella Condominium Association,463,78.8,,1995,511,2013
171,Allied Dunn's Marsh Neighborhood Association,2356,32.1,128700.0,1964,708,2013
161,Arbor Hills Neighborhood Association,1102,75.8,246069.0,1970,466,2013
132,East Buckeye Neighborhood Association,2043,85.2,189622.0,1985,221,2013
100,Carpenter-Ridgeway Neighborhood Association,1016,66.4,139192.0,1970,1578,2013
106,Emerson East Neighborhood Association,2042,83.9,166449.0,1925,2516,2013
89,Whitetail Ridge,507,76.2,170565.0,1995,246,2013
142,Faircrest Neighborhood Association,1191,80.2,284549.0,1965,573,2013
133,Glen Oak Hills Neighborhood Association,844,87.7,187106.0,1956,1530,2013
99,Mayfair Park Neighborhood Association,593,64.9,136422.0,1958,1430,2013
139,Glendale Neighborhood Association,2233,79.1,172002.0,1958,601,2013
141,Greenbush Neighborhood Association,2879,88.8,243518.0,1917,2126,2013
351,Rocky Bluff Neighborhood Association,1038,76.8,232492.0,1956,2542,2013
155,Greentree Neighborhood Association,1841,76.7,217365.0,1967,717,2013
103,Hawthorne Neighborhood Association,1090,66.0,122386.0,1955,969,2013
107,Hiestand Neighborhood Association,3561,58.9,168551.0,1978,699,2013
112,Heritage Heights Community Association,2240,89.9,190121.0,1975,236,2013
138,"Hill Farms, University Neighborhood Association",2942,76.4,290823.0,1960,1894,2013
177,Summit Woods Neighborhood Association,721,85.1,207176.0,1966,427,2013
91,Lake View Hill Neighborhood Association,1192,69.4,160139.0,1961,504,2013
145,Oakbridge Community Neighborhood Association,343,81.5,211516.0,1984,140,2013
123,Lake Edge Neighborhood Association,2380,88.5,160804.0,1951,701,2013
165,Maple-Prairie Neighborhood Association,1732,79.6,223736.0,1993,145,2013
92,Lerdahl Park Neighborhood Association,925,80.4,271476.0,1966,258,2013
95,Mendota Hills Neighborhood Association,364,82.6,167612.0,1959,258,2013
94,Berkley Oaks Neighborhood Association,1399,48.8,128870.0,1963,504,2013
114,Marquette Neighborhood Association,4909,88.8,309924.0,1916,2390,2013
159,Meadowood Neighborhood Association,2962,68.6,165060.0,1964,942,2013
101,Ridgewood Neighborhood Association,3989,57.5,197401.0,1995,463,2013
169,Orchard Ridge Neighborhood Association,2262,87.6,201076.0,1964,1164,2013
150,Nakoma League,1778,93.8,415650.0,1938,983,2013
87,North Lake Mendota Neighborhood Association,898,86.3,238959.0,1992,258,2013
90,Bluff Acres Neighborhood Association,3725,67.6,176811.0,1981,325,2013
102,Sheridan Triangle Neighborhood Association,340,91.9,141182.0,1947,258,2013
86,Westchester Gardens Neighborhood Association,1302,65.7,163645.0,1985,1022,2013
113,Rolling Meadows Neighborhood Association,2366,84.1,161956.0,1966,511,2013
134,Sauk Creek Neighborhood Association,1029,79.5,346798.0,1990,352,2013
97,Sherman Neighborhood Association,2695,72.4,139302.0,1954,2993,2013
144,Tamarack Trails Community Condominium Association,464,58.0,191431.0,1978,275,2013
130,Wisconsin Co-op Housing Association,355,91.9,211570.0,1950,628,2013
140,Vilas Neighborhood Association,1881,90.8,437696.0,1921,1246,2013
